No,業種区分,施設名称,施設所在地,施設所在地,施設ビル名,施設TEL,開設者名,代表者肩書,代表者名,確認番号,確認年月日,前月新確認施設(確認年月日)
317,取次所,クリーニング　アット　ディナーベル新道西店,北海道札幌市北区北３２条西１０丁目１－５,札幌市北区北３２条西１０丁目１－５,ディナーベル新道西店内,011-736-3660,株式会社エースランドリー,代表取締役,菊池紀雄,札保環確認（ク）第11号,2012-05-17,
318,取次所,クリーンライン大室,北海道札幌市北区北３２条西１３丁目１－１,札幌市北区北３２条西１３丁目１－１,マックスバリュ北３２条２Ｆ,011-709-2447,株式会社大室洗染所,代表取締役,大室昭洋,札保環確認（ク）第13号,2004-06-30,
319,取次所,エンパイアー　南麻生店,北海道札幌市北区北３５条西４丁目３－１５,札幌市北区北３５条西４丁目３－１５,,011-757-4826,鈴木良子,,,札北保衛確認（ク）第12号,1995-11-06,
320,取次所,ホワイト急便サッポロ　北３５条西９丁目店,北海道札幌市北区北３５条西９丁目,札幌市北区北３５条西９丁目,ジョイナス３５,011-716-5495,伊藤順子,,,札北保衛確認（ク）第30号,1993-02-02,
321,取次所,クリーニングピュア　北３５条店,北海道札幌市北区北３５条西９丁目１－３,札幌市北区北３５条西９丁目１－３,,011-728-7147,株式会社光生舎,代表取締役,高江智和理,札保環確認（ク）第5号,2007-04-13,
322,取次所,ぴよちゃんクリーニング　川人店,北海道札幌市北区北３７条西４丁目,札幌市北区北３７条西４丁目,,011-709-0098,川人一剛,,,札保北確認（ク）第13号,1999-10-21,
323,取次所,株式会社　エンパイアー　麻生アベニュー店,北海道札幌市北区北３８条西２丁目２－２０,札幌市北区北３８条西２丁目２－２０,,011-709-0150,株式会社エンパイアー,代表取締役,山下譲,札北保衛確認（ク）第14号,1991-12-09,
324,取次所,ぴよちゃんクリーニング　北３８条店,北海道札幌市北区北３８条西５丁目１－２４,札幌市北区北３８条西５丁目１－２４,,011-709-0724,有限会社エースランドリー,代表取締役,菊地紀雄,札北保衛確認（ク）第3号,1980-04-28,
325,取次所,洗濯工房　麻生店,北海道札幌市北区北３８条西７丁目,札幌市北区北３８条西７丁目,,011-736-2466,有限会社林ランドリー,代表取締役,林利幸,札北保衛確認（ク）第17号,1996-01-19,
326,取次所,クリーニングエース　ダイエー麻生店,北海道札幌市北区北３９条西４丁目１－５,札幌市北区北３９条西４丁目１－５,,011-758-7555,株式会社エースランドリー,代表取締役,菊池紀雄,札保環確認（ク）第3号,2014-04-16,
327,取次所,エンパイアー　麻生３９条店,北海道札幌市北区北３９条西５丁目１－１２,札幌市北区北３９条西５丁目１－１２,,011-757-5820,株式会社エンパイアー,代表取締役,山下譲,札保環確認（ク）第28号,2012-09-12,
328,取次所,クリーニングアット東光ストア麻生店,北海道札幌市北区北４０条西４丁目２－１５,札幌市北区北４０条西４丁目２－１５,東光ストア麻生店　１Ｆ,011-707-1159,株式会社エースランドリー,代表取締役,菊地紀雄,札保環確認（ク）第11号,2010-06-30,
329,取次所,株式会社　エンパイアー　長尾チェーン店,北海道札幌市北区北４０条西６丁目,札幌市北区北４０条西６丁目,,011-758-1379,株式会社エンパイアー,代表取締役,山下譲,札北保衛確認（ク）第15号,1985-08-12,
330,取次所,クリーニングピュア　麻生店,北海道札幌市北区麻生町４丁目１２－１０,札幌市北区麻生町４丁目１２－１０,テーワイビル１階,011-716-9594,株式会社光生舎,代表取締役,高江智和理,札保環確認（ク）第44号,2006-02-16,
331,取次所,エンパイアー　ミサワチェーン店,北海道札幌市北区麻生町５丁目,札幌市北区麻生町５丁目,ミサワ電器店,011-726-3703,株式会社エンパイアー,代表取締役,山下譲,札北保衛確認（ク）第2号,1988-03-19,
332,取次所,麻生ランドリー,北海道札幌市北区麻生町５丁目１－３,札幌市北区麻生町５丁目１－３,,,永倉節子,,,札北保衛確認（ク）第12号,1979-06-22,
333,取次所,株式会社　エンパイアー札幌北支店　麻生店,北海道札幌市北区麻生町５丁目８２０番地２４,札幌市北区麻生町５丁目８２０番地２４,,,株式会社エンパイアー,代表取締役,山下譲,札北保衛確認（ク）第8号,1982-06-05,
334,取次所,陸上自衛隊丘珠駐屯地厚生センター,北海道札幌市東区丘珠町１６１番地,札幌市東区丘珠町１６１番地,,011-781-8321,株式会社ザック,代表取締役,吉田成利,札保環確認（ク）第42号,2014-02-12,
335,リネンサプライ,札幌リネン,北海道札幌市東区中沼西１条２丁目１－１５,札幌市東区中沼西１条２丁目１－１５,,011-792-3622,阿部孝幸,,,札保環確認（ク）第8号,2014-07-10,
336,取次所,小村商店,北海道札幌市東区中沼西５条１丁目,札幌市東区中沼西５条１丁目,,011-791-3652,有限会社サンシャインコーポレーション,代表取締役,植野宏一,札東保衛確認（ク）第11号,1989-07-14,
337,取次所,エースランドリー中沼店,北海道札幌市東区中沼町３４－３９０,札幌市東区中沼町３４－３９０,,011-791-3290,立崎久美子,,,札東保衛確認（ク）第8号,1985-06-29,
338,クリーニング工場,有限会社サンシャインクリーニング,北海道札幌市東区中沼町８０番地１０,札幌市東区中沼町８０番地１０,,011-791-8282,有限会社サンシャインクリーニング,取締役,山崎隆生,札保環確認（ク）第41号,2014-01-30,
339,取次所,アラマークユニフォームサービスジャパン株式会社　北海道事業所,北海道札幌市東区東雁来６条２丁目３番６０号,札幌市東区東雁来６条２丁目３番６０号,,011-786-3211,アラマークユニフォームサービスジャパン株式会社,代表取締役,西村孔裕,札保環確認（ク）第43号,2014-02-24,
340,取次所,クリーニング　エース　ザ・ビック東雁来店,北海道札幌市東区東雁来１０条３丁目1番６号,札幌市東区東雁来１０条３丁目1番６号,,011-768-7677,株式会社エースランドリー,代表取締役,菊地紀雄,札保環確認（ク）第11号,2013-07-04,
341,クリーニング工場,ホワイト急便サッポロ東苗穂工場,北海道札幌市東区東苗穂１条２丁目４－３０,札幌市東区東苗穂１条２丁目４－３０,,050-5519-1389,株式会社アルト,代表取締役,小林信彦,札東保衛確認（ク）第29号,1990-02-09,
342,取次所,ホワイト急便　東苗穂本店,北海道札幌市東区東苗穂１条２丁目４番３０号,札幌市東区東苗穂１条２丁目４番３０号,,011-785-5969,株式会社アルト,代表取締役,小林信彦,札保環確認（ク）第47号,2006-11-28,
343,取次所,エンパイアー　イオン苗穂店,北海道札幌市東区東苗穂２条３丁目,札幌市東区東苗穂２条３丁目,イオン札幌苗穂ショッピングセンター　１階,011-780-7642,株式会社エンパイアー,代表取締役,山下譲,札保環確認（ク）第16号,2003-06-18,
344,取次所,エクセルクリーニング,北海道札幌市東区東苗穂３条１丁目３－４５,札幌市東区東苗穂３条１丁目３－４５,,011-784-3326,小島義仁,,,札保環確認（ク）第10号,2016-09-21,
345,クリーニング工場,株式会社エンパイアー特殊クリーニング事業部　東苗穂工場,北海道札幌市東区東苗穂３条３丁目１－９４,札幌市東区東苗穂３条３丁目１－９４,,011-784-8601,株式会社エンパイアー,代表取締役,山下譲,札東保衛確認（ク）第4号,1988-01-28,
346,取次所,ホワイト急便サッポロ東苗穂４条１丁目店,北海道札幌市東区東苗穂４条１丁目,札幌市東区東苗穂４条１丁目,,011-784-7282,西浦ハル,,,札東保衛確認（ク）第21号,1988-09-10,
347,取次所,ホワイト急便サッポロ東苗穂６条２丁目店,北海道札幌市東区東苗穂６条２丁目１０－１５,札幌市東区東苗穂６条２丁目１０－１５,,011-781-2802,若山定夫,,,札東保衛確認（ク）第38号,1988-11-26,
348,クリーニング工場,丸昭クリーニング,北海道札幌市東区東苗穂７条２丁目６－７,札幌市東区東苗穂７条２丁目６－７,,011-782-2252,三本昭男,,,札東保衛確認（ク）第4号,1974-05-14,
349,取次所,リハビリークリーナースチェーン　パオ東苗穂店,北海道札幌市東区東苗穂８条１丁目１８－１,札幌市東区東苗穂８条１丁目１８－１,ホクレンショップ東苗穂店,011-792-3488,社会福祉法人北海道リハビリー,理事長,石崎岳,札保東確認（ク）第17号,1998-09-28,
350,取次所,ホワイト急便東苗穂９条２丁目店,北海道札幌市東区東苗穂９条２丁目１－７０,札幌市東区東苗穂９条２丁目１－７０,,011-792-2965,山谷裕美子,,,札東保衛確認（ク）第12号,1994-09-16,
351,取次所,ホワイト急便　東苗穂９条３丁目,北海道札幌市東区東苗穂９条３丁目８－１,札幌市東区東苗穂９条３丁目８－１,,011-791-5503,神崎建治,,,札保東確認（ク）第10号,2002-02-14,
352,取次所,ホワイト急便サッポロ東苗穂１０条１丁目店,北海道札幌市東区東苗穂１０条１丁目,札幌市東区東苗穂１０条１丁目,,011-791-0710,川添和弘,,,札東保衛確認（ク）第17号,1991-10-15,
353,取次所,まみいわあるど,北海道札幌市東区東苗穂１１条２丁目１６－１６,札幌市東区東苗穂１１条２丁目１６－１６,かえで３３　１階,011-788-8353,岡田明美,,,札保環確認（ク）第2号,2014-04-15,
354,取次所,ホワイト急便東苗穂１２条３丁目店,北海道札幌市東区東苗穂１２条３丁目１番２０号,札幌市東区東苗穂１２条３丁目１番２０号,リラハイツ　１階,050-5823-7232,株式会社アルト,代表取締役,小林信彦,札保環確認（ク）第34号,2012-10-12,
355,取次所,クリーンライン丸高,北海道札幌市東区東苗穂１３条２丁目,札幌市東区東苗穂１３条２丁目,,011-791-4417,有限会社丸高ドライクリーニング,代表取締役,高山郁雄,札東保衛確認（ク）第17号,1996-12-06,
356,取次所,クリーニングエース　ザ・ビッグモエレ店,北海道札幌市東区東苗穂１３条２丁目１２－１,札幌市東区東苗穂１３条２丁目１２－１,,011-791-7373,株式会社エースランドリー,代表取締役,菊地紀雄,札保環確認（ク）第19号,2016-03-03,
357,取次所,丸賞木下洗業株式会社こまたふとん店取次所,北海道札幌市東区苗穂町４丁目５－７,札幌市東区苗穂町４丁目５－７,こまたふとん店内,011-741-2646,丸賞木下洗業株式会社,代表取締役,菅原信明,札東保衛確認（ク）第26号,1997-03-07,
358,取次所,美好屋クリーニング株式会社自衛隊苗穂営業所,北海道札幌市東区苗穂町７丁目,札幌市東区苗穂町７丁目,陸上自衛隊苗穂支処,011-742-3250,美好屋クリーニング株式会社,代表取締役,八十島貞行,札東保衛確認（ク）第18号,1977-05-16,
359,取次所,ＳＡＴＯＤＡ,北海道札幌市東区伏古２条５丁目1番1号,札幌市東区伏古２条５丁目1番1号,,011-781-2431,有限会社里田商店,取締役,里田顕三,札保環確認（ク）第36号,2002-07-31,
360,取次所,あいクリーニング,北海道札幌市東区伏古４条３丁目１－１８,札幌市東区伏古４条３丁目１－１８,,011-784-1305,有限会社マリークリーニング,代表取締役,下田導,札保東確認（ク）第10号,2000-11-30,
361,取次所,ファッションドライ　ピクシー伏古店,北海道札幌市東区伏古４条３丁目４－１８,札幌市東区伏古４条３丁目４－１８,,011-783-3739,有限会社最上屋クリーニング商会,代表取締役,斉藤政治,札保東確認（ク）第16号,1998-09-01,
362,取次所,ホワイト急便サッポロ伏古４条３丁目店,北海道札幌市東区伏古４条３丁目４－２４,札幌市東区伏古４条３丁目４－２４,,011-783-1187,池田恒子,,,札東保衛確認（ク）第9号,1989-07-10,
363,取次所,エンパイアーラルズストア　伏古店,北海道札幌市東区伏古６条３丁目４－１,札幌市東区伏古６条３丁目４－１,,011-789-7551,株式会社エンパイアー,代表取締役,山下譲,札保東確認（ク）第1号,2000-05-11,
364,取次所,ホワイト急便サッポロ伏古８条２丁目店,北海道札幌市東区伏古８条２丁目１０－９,札幌市東区伏古８条２丁目１０－９,,011-781-5491,新谷裕美子,,,札東保衛確認（ク）第43号,1988-12-09,
365,クリーニング工場,㈱最上屋クリーニング商会本店,北海道札幌市東区伏古８条２丁目４-３,札幌市東区伏古８条２丁目４-３,,011-785-6263,株式会社最上屋クリーニング商会,代表取締役,斉藤政治,札東保衛確認（ク）第7号,1992-09-14,
366,取次所,有限会社最上屋クリーニング商会本店,北海道札幌市東区伏古８条２丁目４－３,札幌市東区伏古８条２丁目４－３,,011-785-6263,有限会社最上屋クリーニング商会,代表取締役,斉藤政治,札東保衛確認（ク）第6号,1992-09-14,
367,クリーニング工場,（有）パーク･ランドリー,北海道札幌市東区伏古８条２丁目５－２５,札幌市東区伏古８条２丁目５－２５,,011-788-6202,有限会社パーク・ランドリー,代表取締役,川﨑克則,札保環確認（ク）第50号,2013-02-25,
368,取次所,日本クリーニングふしこ営業所,北海道札幌市東区伏古８条２丁目９－１３,札幌市東区伏古８条２丁目９－１３,,011-782-3697,有限会社博愛舎サービス,代表取締役,石川十四夫,札東保衛確認（ク）第8号,1979-06-15,
369,取次所,伏古１０条１丁目店（しまだ商店）,北海道札幌市東区伏古１０条１丁目１６番２３号,札幌市東区伏古１０条１丁目１６番２３号,,011-781-2638,嶋田圭子,,,札保環確認（ク）第3号,2007-04-10,
370,取次所,(株)大五ドライクリーニング　コープさっぽろ新道店,北海道札幌市東区伏古１１条３丁目１－４５,札幌市東区伏古１１条３丁目１－４５,,011-782-5097,株式会社大五ドライクリーニング,代表取締役,後藤文雄,札保環確認（ク）第12号,2018-08-02,
371,取次所,ホワイト急便伏古１４条４丁目店,北海道札幌市東区伏古１４条４丁目１番１号,札幌市東区伏古１４条４丁目１番１号,,011-781-4433,株式会社アルト,代表取締役,小林信彦,札保環確認（ク）第1号,2012-04-11,
372,取次所,キッズパーク伏古店,北海道札幌市東区伏古１４条５丁目１－２０,札幌市東区伏古１４条５丁目１－２０,三洋ビル,011-780-1813,株式会社光生舎,代表取締役,髙江智和理,札保環確認（ク）第9号,2018-07-19,
373,取次所,札幌中央郵便局売店,北海道札幌市東区北６条東１丁目２－１,札幌市東区北６条東１丁目２－１,札幌中央郵便局６階,011-748-2492,財団法人郵政福祉,会長,上田誠也,札保環確認（ク）第14号,2006-06-01,
374,取次所,プレミスト札幌ターミナルタワー　,北海道札幌市東区北７条東１丁目１番10,札幌市東区北７条東１丁目１番10,プレミスト札幌ターミナルタワー　１階,011-795-8446,株式会社アスク,代表取締役,泉澤豊,札保環確認（ク）第10号,2015-09-03,
375,取次所,(株)大五ドライクリーニング　アリオ札幌店,北海道札幌市東区北７条東９丁目２－２０,札幌市東区北７条東９丁目２－２０,,011-743-9257,株式会社大五ドライクリーニング,代表取締役,後藤文雄,札保環確認（ク）第11号,2018-08-02,
376,取次所,ダスキンＪＲ北海道,北海道札幌市東区北７条東１７丁目１６番,札幌市東区北７条東１７丁目１６番,,011-752-2121,北海道クリーン・システム株式会社,代表取締役,安藤健一,札保環確認（ク）第31号,2006-09-29,
377,クリーニング工場,札幌交通機械株式会社,北海道札幌市東区北７条東１７丁目１６番地,札幌市東区北７条東１７丁目１６番地,,011-711-0848,札幌交通機械株式会社,代表取締役,佐々木康行,札東保衛確認（ク）第5号,1995-11-08,
378,取次所,クリーニングエース　スーパーアークス苗穂店,北海道札幌市東区北７条東１８丁目２－１０,札幌市東区北７条東１８丁目２－１０,スーパーアークス苗穂店,011-753-8400,株式会社エースランドリー,代表取締役,菊地紀雄,札保環確認（ク）第9号,2013-06-26,
379,取次所,ホワイト急便　シュクル店,北海道札幌市東区北８条東１２丁目２－２,札幌市東区北８条東１２丁目２－２,,011-721-3406,佐藤るり子,,,札保東確認（ク）第4号,2001-11-27,
380,クリーニング工場,パール美洗,北海道札幌市東区北９条東１０丁目３－３０,札幌市東区北９条東１０丁目３－３０,,011-741-7835,篠原学,,,札保環確認（ク）第6号,2015-06-12,
381,クリーニング工場,ウエマツ・クリーニング,北海道札幌市東区北９条東１１丁目１－２４,札幌市東区北９条東１１丁目１－２４,,011-723-3131,植松有義,,,札東保衛確認（ク）第14号,1985-08-19,
382,取次所,ホワイト急便北１０条東４丁目店,北海道札幌市東区北１０条東４丁目５,札幌市東区北１０条東４丁目５,近藤商店,011-711-8801,近藤正義,,,札保東確認（ク）第13号,2001-03-27,
383,取次所,㈱大五ドライクリーニング　生鮮市場北10条店,北海道札幌市東区北１０条東５丁目１,札幌市東区北１０条東５丁目１,,011-702-2662,株式会社大五ドライクリーニング,代表取締役,後藤文雄,札保東確認（ク）第13号,1997-11-27,
384,取次所,エンパイアー北１０条店,北海道札幌市東区北１０条東６丁目１４－６,札幌市東区北１０条東６丁目１４－６,アナミ北１０条１０１号,011-712-0755,株式会社エンパイアー,代表取締役,山下譲,札保東確認（ク）第21号,1998-10-17,
385,クリーニング工場,有限会社　クリンアイデアル,北海道札幌市東区北１０条東８丁目２－６,札幌市東区北１０条東８丁目２－６,,011-742-1033,有限会社クリンアイデアル,代表取締役,髙橋潤,札東保衛確認（ク）第5号,1994-06-14,
386,取次所,クリンアイデアル,北海道札幌市東区北１０条東８丁目２番６号,札幌市東区北１０条東８丁目２番６号,光星改良第６店舗6005,011-826-5461,有限会社クリンアイデアル,代表取締役,髙橋潤,札保環確認（ク）第40号,2012-12-20,
387,クリーニング工場,即洗力,北海道札幌市東区北１０条東８丁目２番６号,札幌市東区北１０条東８丁目２番６号,光星改良第６店舗内,011-299-3148,特定非営利活動法人即洗力,理事,山道裕樹,札保環確認（ク）第26号,2013-10-10,
388,取次所,丸賞　木下洗業㈱東区役所前店取次所,北海道札幌市東区北１１条東８丁目１－３,札幌市東区北１１条東８丁目１－３,高岡ビル,011-661-2007,丸賞木下洗業株式会社,代表取締役,菅原信明,札保東確認（ク）第3号,1998-05-11,
389,取次所,東日本　３９２１,北海道札幌市東区北１２条東３丁目１番１号,札幌市東区北１２条東３丁目１番１号,天使病院売店内,011-702-9535,エームサービス東日本株式会社,代表取締役,石田久人,札保環確認（ク）第46号,2009-03-13,
390,取次所,クリーンライン大室,北海道札幌市東区北１２条東８丁目１－６,札幌市東区北１２条東８丁目１－６,コーア薬品　クリーンライン大室,011-711-6771,寺谷貞子,,,札東保衛確認（ク）第14号,1987-09-09,
391,取次所,光星ドライ１２条店,北海道札幌市東区北１２条東９丁目,札幌市東区北１２条東９丁目,,011-741-4239,多川エイ子,,,札東保衛確認（ク）第49号,1989-03-04,
392,取次所,ホワイト急便サッポロ北１２条東１４丁目店,北海道札幌市東区北１２条東１４丁目８,札幌市東区北１２条東１４丁目８,,011-711-8472,小林美代子,,,札東保衛確認（ク）第23号,1988-09-20,
393,取次所,ホワイト急便サッポロ北１３条東５丁目店,北海道札幌市東区北１３条東５丁目５－９,札幌市東区北１３条東５丁目５－９,,011-702-0679,竹内智恵子,,,札保東確認（ク）第4号,1998-05-15,
394,取次所,ぴよちゃんクリーニング光星店,北海道札幌市東区北１３条東７丁目,札幌市東区北１３条東７丁目,ツイクル１３７,011-742-3432,菊池紀雄,,,札保東確認（ク）第18号,1997-12-09,
395,取次所,エンパイアー　ビッグハウス光星店,北海道札幌市東区北１４条東３丁目,札幌市東区北１４条東３丁目,,011-711-1465,株式会社エンパイアー,代表取締役,山下譲,札東保衛確認（ク）第12号,1978-06-23,
396,取次所,ホワイト急便　北１４条東１４丁目,北海道札幌市東区北１４条東１４丁目１－１７,札幌市東区北１４条東１４丁目１－１７,,011-742-2360,株式会社アルト,代表取締役,小林信彦,札保東確認（ク）第13号,2002-03-15,
397,取次所,ホワイト急便　北１４条東１６丁目店,北海道札幌市東区北１４条東１６丁目２番３３号,札幌市東区北１４条東１６丁目２番３３号,,011-786-8146,竹内敬子,,,札保環確認（ク）第35号,2003-10-31,
398,クリーニング工場,北都クリーニング店,北海道札幌市東区北１５条東１丁目２３０,札幌市東区北１５条東１丁目２３０,,011-711-4536,中嶋博之,,,札東保衛確認（ク）第13号,1992-12-09,
399,取次所,ドライショップ美香,北海道札幌市東区北１６条東４丁目２２８,札幌市東区北１６条東４丁目２２８,,011-742-2488,北間二三男,,,札東保衛確認（ク）第4号,1986-04-03,
400,取次所,ホワイト急便サッポロ北１６条東　７丁目店,北海道札幌市東区北１６条東７丁目,札幌市東区北１６条東７丁目,,011-711-7399,開優,,,札東保衛確認（ク）第30号,1988-10-13,
401,取次所,なんばドライ北店,北海道札幌市東区北１６条東１６丁目,札幌市東区北１６条東１６丁目,,011-786-4820,有限会社難波ドライ,代表取締役,難波雅彦,札東保衛確認（ク）第5号,1990-06-18,
402,取次所,株式会社ナック・ダスキン事業部第１５支店,北海道札幌市東区北１６条東１９丁目１－５,札幌市東区北１６条東１９丁目１－５,,011-786-4111,株式会社ナック,代表取締役,寺岡豊彦,札保環確認（ク）第21号,2013-09-26,
403,取次所,クリーニングの大室フードセンター元町店,北海道札幌市東区北１７条東１６丁目,札幌市東区北１７条東１６丁目,フードセンター元町店,011-785-2226,株式会社札幌フードセンター,代表取締役,出戸一成,札東保衛確認（ク）第1号,1979-03-06,
404,取次所,ぴよちゃんクリーニング岡崎商店,北海道札幌市東区北１８条東１丁目,札幌市東区北１８条東１丁目,,011-741-3333,株式会社曲富岡崎商店,代表取締役,岡崎優,札東保衛確認（ク）第17号,1994-10-31,
405,取次所,白洗舎クリーニング北１８条店,北海道札幌市東区北１８条東１丁目１２－１２６,札幌市東区北１８条東１丁目１２－１２６,,011-711-0669,井元白洗舎クリーニング株式会社,代表取締役,井元英明,札保東確認（ク）第12号,1998-08-28,
406,クリーニング工場,(有)菱二西山蒲団店,北海道札幌市東区北１８条東１丁目３－２７,札幌市東区北１８条東１丁目３－２７,,011-711-9552,有限会社菱二西山蒲団店,代表取締役,西山俊行,札東保衛確認（ク）第17号,1987-09-25,
407,取次所,（有）ダスキンマサル,北海道札幌市東区北１８条東１丁目４番３号,札幌市東区北１８条東１丁目４番３号,浮穴ビル　１階,011-721-7155,有限会社ダスキンマサル,代表取締役,浮穴優,札保環確認（ク）第83号,2003-02-05,
408,取次所,スーパーエース美香保店,北海道札幌市東区北１８条東８丁目,札幌市東区北１８条東８丁目,,011-741-2346,有限会社サンシャインコーポレーション,代表取締役,山崎隆生,札東保衛確認（ク）第6号,1991-04-26,
409,取次所,クリーニングアット美香保店,北海道札幌市東区北１８条東８丁目１－２５,札幌市東区北１８条東８丁目１－２５,中嶋ビル１階,011-743-3300,株式会社エースランドリー,代表取締役,菊地紀雄,札保環確認（ク）第26号,2008-09-25,
410,取次所,ホワイト急便サッポロ北１８条東８丁目店,北海道札幌市東区北１８条東８丁目２１,札幌市東区北１８条東８丁目２１,,011-711-7265,大西美恵子,,,札東保衛確認（ク）第29号,1988-10-12,
411,取次所,富士クリーニング,北海道札幌市東区北１８条東１７丁目１番２４号,札幌市東区北１８条東１７丁目１番２４号,,011-782-9227,鈴木栄子,,,札保環確認（ク）第42号,2003-12-11,
412,リネンサプライ,障害福祉サービス事業所　札幌社会復帰センター,北海道札幌市東区北１９条東６丁目1-1,札幌市東区北１９条東６丁目1-1,,011-721-2888,社会福祉法人朔風,理事長,船木宏通,札保環確認（ク）第20号,2008-07-17,
413,取次所,ホワイト急便　元町店,北海道札幌市東区北１９条東１６丁目１－１,札幌市東区北１９条東１６丁目１－１,津畑ビル　１Ｆ,011-782-9119,株式会社アルト,代表取締役,小林信彦,札保環確認（ク）第31号,2007-09-28,
414,クリーニング工場,クリエイトクリーニングアベ,北海道札幌市東区北２０条東１丁目２－２２,札幌市東区北２０条東１丁目２－２２,,011-711-8028,阿部俊市,,,札東保衛確認（ク）第12号,1987-09-01,
415,取次所,ホワイト急便サッポロ北２０条東１９丁目店,北海道札幌市東区北２０条東１９丁目,札幌市東区北２０条東１９丁目,,011-782-0624,村田久子,,,札東保衛確認（ク）第10号,1992-10-08,
416,取次所,株式会社　博新堂,北海道札幌市東区北２０条東２０丁目３－８,札幌市東区北２０条東２０丁目３－８,,011-783-5116,株式会社博新堂,代表取締役,西森善直,札保東確認（ク）第7号,2000-08-08,
417,取次所,ホワイト急便サッポロ北２１条東７丁目店,北海道札幌市東区北２１条東７丁目１－２７,札幌市東区北２１条東７丁目１－２７,,011-711-3590,植竹直,,,札東保衛確認（ク）第18号,1993-03-24,
418,取次所,中川商店エンパイヤークリーニング,北海道札幌市東区北２１条東１２丁目,札幌市東区北２１条東１２丁目,,011-711-6768,有限会社マルシン中川商店,代表取締役,中川敏雄,札東保衛確認（ク）第1号,1978-02-17,
419,取次所,コープさっぽろ　元町生協,北海道札幌市東区北２１条東１６丁目２番,札幌市東区北２１条東１６丁目２番,コープさっぽろ元町店　１階,011-751-8052,株式会社三ツ葉市沢クリーニング本店,代表取締役,千葉幸雄,札保環確認（ク）第20号,2003-07-29,
420,取次所,ホワイト急便サッポロ北２１条東２２丁目店,北海道札幌市東区北２１条東２２丁目１－１３,札幌市東区北２１条東２２丁目１－１３,ファミリーショップ　明るい家,011-781-7372,佐藤栄治,,,札東保衛確認（ク）第6号,1993-06-01,
421,取次所,ホワイト急便　(株)重友商店,北海道札幌市東区北２２条東４丁目３－２,札幌市東区北２２条東４丁目３－２,,011-751-2288,株式会社重友商店,代表取締役,重友智恵夫,札保東確認（ク）第8号,2002-02-14,
422,クリーニング工場,アポロクリーニング,北海道札幌市東区北２２条東１６丁目４－２３,札幌市東区北２２条東１６丁目４－２３,,011-782-9018,大矢正一,,,札東保衛確認（ク）第6号,1988-02-29,
423,取次所,クリーニング・アット元町東店,北海道札幌市東区北２２条東１６丁目４番２６号,札幌市東区北２２条東１６丁目４番２６号,,011-787-5518,株式会社エースランドリー,代表取締役,菊地紀雄,札保環確認（ク）第54号,2004-02-26,
424,取次所,有限会社マリークリーニング元町店,北海道札幌市東区北２２条東１８丁目１－２,札幌市東区北２２条東１８丁目１－２,,011-785-3328,有限会社マリークリーニング,代表取締役,下田導,札東保衛確認（ク）第4号,1993-06-03,
425,取次所,クリーニングピュア　美香保店,北海道札幌市東区北２３条東７丁目５－１１,札幌市東区北２３条東７丁目５－１１,,011-751-5533,株式会社光生舎,代表取締役,髙江智和理,札保環確認（ク）第10号,2010-06-22,
426,取次所,有限会社　山仲商店,北海道札幌市東区北２４条東３丁目１－２０,札幌市東区北２４条東３丁目１－２０,,011-711-2660,有限会社山仲商店,代表取締役,山仲忠幸,札東保衛確認（ク）第26号,1992-02-07,
427,取次所,クリーニングピュア　元町店,北海道札幌市東区北２４条東１５丁目１－４１,札幌市東区北２４条東１５丁目１－４１,,011-743-7651,株式会社光生舎,代表取締役,高江智和理,札東保衛確認（ク）第23号,1997-01-31,
428,取次所,クリーニングのさんゆう,北海道札幌市東区北２４条東２０丁目,札幌市東区北２４条東２０丁目,西友元町店内,011-783-3814,株式会社三友,代表取締役,櫻井七夫,札東保衛確認（ク）第29号,1978-10-27,
429,取次所,クリーニングエース西友元町店,北海道札幌市東区北２４条東２０丁目４－１西友元町北２４条店内,札幌市東区北２４条東２０丁目４－１西友元町北２４条店内,,011-787-0010,株式会社エースランドリー,代表取締役,菊地紀雄,札保環確認（ク）第1号,2016-04-19,
430,取次所,ホワイト急便サッポロ　北２５条東３丁目店,北海道札幌市東区北２５条東３丁目１－１５,札幌市東区北２５条東３丁目１－１５,,011-753-0266,高橋一康,,,札保東確認（ク）第10号,1999-07-23,
431,取次所,ホワイト急便北２５条東１８丁目（わかめ屋）,北海道札幌市東区北２５条東１８丁目１－１,札幌市東区北２５条東１８丁目１－１,,011-784-5810,柿崎美保子,,,札保環確認（ク）第30号,2006-09-29,
432,取次所,ホワイト急便サッポロ北２５条東２０丁目店,北海道札幌市東区北２５条東２０丁目３－１０,札幌市東区北２５条東２０丁目３－１０,,011-782-2407,小黒由美子,,,札東保衛確認（ク）第7号,1989-06-22,
433,クリーニング工場,クリーニングピュア北２５条東店,北海道札幌市東区北２５条東２１丁目２－１,札幌市東区北２５条東２１丁目２－１,,011-788-6991,株式会社光生舎,代表取締役,髙江智和理,札保環確認（ク）第11号,2017-10-12,
434,取次所,成田商店,北海道札幌市東区北２５条東２２丁目１－６,札幌市東区北２５条東２２丁目１－６,,011-781-9272,成田長一郎,,,札東保衛確認（ク）第16号,1990-09-10,
435,取次所,クリーニングのひまわり　北２６条店,北海道札幌市東区北２６条東３丁目１－１,札幌市東区北２６条東３丁目１－１,泉山ビル,011-743-4000,岡本誠,,,札保環確認（ク）第36号,2009-11-27,
