No,業種区分,施設名称,施設所在地,施設ビル名,施設TEL,開設者名,代表者肩書,代表者名,許可番号,許可年月日,前月新許可施設(許可年月日)
131,旅館・ホテル,ＵＮＷＩＮＤ　ＨＯＴＥＬ ＆ ＢＡＲ,北海道札幌市中央区南８条西５丁目２８９番地,,,株式会社グローバルエージェンツ,代表取締役,山﨑剛,札保環許可（旅）第27号,2017-02-02,
132,旅館・ホテル,クインテッサホテル札幌,北海道札幌市中央区南８条西５丁目２８９番地１０３,,011-512-8500,コアグローバルマネジメント株式会社,代表取締役,中野正純,札保環許可（旅）第7号,2015-09-11,
133,旅館・ホテル,ホテルレッツ　ススキノ,北海道札幌市中央区南８条西５丁目２８９番地６４,,011-598-1225,合同会社フェイス,代表社員,阿部淳一,札保環許可（旅）第15号,2017-06-28,
134,旅館・ホテル,ホテル札幌ＣＯＣＯ,北海道札幌市中央区南８条西５丁目２８９番地７８,,011-562-3000,株式会社札幌ＣＯＣＯ,代表取締役,松井みゆき,札保環許可（旅）第18号,2008-01-08,
135,旅館・ホテル,ＨＯＴＥＬ　ＣＲＸ（クルクス）,北海道札幌市中央区南８条西５丁目２８９番地９１,,011-512-8788,有限会社井上ビルディング,取締役,井上明雄,札保環許可（旅）第16号,2001-01-24,
136,旅館・ホテル,札幌エクセルホテル東急,北海道札幌市中央区南８条西５丁目４２０,,011-533-0109,株式会社札幌東急ホテルズ,代表取締役,小林昭人,札中保衛許可（旅）第5号,1995-12-22,
137,旅館・ホテル,ホテル　ライン,北海道札幌市中央区南８条西６丁目２８９－１９３,,011-521-3371,有限会社井上ビルディング,取締役,井上明雄,札保環許可（旅）第22号,2011-01-25,
138,簡易宿所,札幌ゲストハウス　縁家,北海道札幌市中央区南８条西８丁目５１５番地２０１,,011-531-4170,山本由記子,,,札保環許可（旅）第10号,2009-02-19,
139,旅館・ホテル,ホテルノースシティ,北海道札幌市中央区南９条西１丁目１３番地８２,,011-512-9748,北海道都市職員共済組合,理事長,西川将人,札中保衛許可（旅）第13号,1981-10-21,
140,旅館・ホテル,ホテルマイステイズプレミア札幌パーク,北海道札幌市中央区南９条西２丁目２－１０,,011-512-3456,株式会社マイステイズ・ホテル・マネジメント,代表取締役,麻野篤毅,札保環許可（旅）第6号,2016-05-31,
141,旅館・ホテル,ウィークリー翔すすきの,北海道札幌市中央区南９条西３丁目,,011-511-2221,有限会社エム・エス・ケイ,代表取締役,正木省司,札保環許可（旅）第25号,2003-03-14,
142,旅館・ホテル,ＨＯＴＥＬ　ＬｉＶＥＭＡＸ,北海道札幌市中央区南９条西３丁目１番２６号,,011-532-0500,株式会社リブ・マックス,代表取締役,有山憲,札保環許可（旅）第5号,2011-10-21,
143,旅館・ホテル,Ｒｉｍａ　ｃｈｏｃｏｌａｔ,北海道札幌市中央区南９条西３丁目２番２５号,,011-521-8567,株式会社三商,代表取締役,富山哲新,札保環許可（旅）第13号,2010-12-06,
144,旅館・ホテル,ベッセルイン札幌中島公園,北海道札幌市中央区南９条西４丁目１－２,,011-513-0700,株式会社ベッセルホテル開発,代表取締役,澁谷誠,札保環許可（旅）第9号,2013-01-29,
145,旅館・ホテル,ホテルリソル札幌　中島公園,北海道札幌市中央区南９条西４丁目４－１０,,011-561-0330,リソルホテル株式会社,代表取締役,今泉芳親,札中保衛許可（旅）第7号,1994-08-09,
146,旅館・ホテル,ホテルビスタ札幌［中島公園］,北海道札幌市中央区南９条西４丁目５,,011-552-2333,株式会社ビスタホテルマネジメント,代表取締役,大内克郎,札保環許可（旅）第1号,2011-04-07,
147,旅館・ホテル,ホテルライフォート札幌,北海道札幌市中央区南１０条西１丁目,,011-521-5211,公立学校共済組合,理事長,金森越哉,札保環許可（旅）第3号,1997-02-19,
148,旅館・ホテル,札幌パークホテル,北海道札幌市中央区南１０条西３丁目１番１号,,011-511-3131,株式会社グランビスタホテル＆リゾート,代表取締役,須田貞則,札保環許可（旅）第6号,2002-04-18,
149,旅館・ホテル,プレミアホテル　中島公園　札幌,北海道札幌市中央区南１０条西６丁目１番２１号,,011-561-1000,株式会社ケン・プレミア札幌マネジメント,代表取締役,野村裕幸,札保環許可（旅）第4号,2005-07-01,
150,簡易宿所,ゲストハウス　やすべえ,北海道札幌市中央区南１０条西７丁目６－６,,011-213-1305,河合康治,,,札保環許可（旅）第9号,2013-10-08,
151,簡易宿所,Ｇｕｅｓｔ Ｈｏｕｓｅ 旋,北海道札幌市中央区南１１条西６丁目２－２２,,,株式会社振旋,代表取締役,ソン・ウトウ,札保環許可（旅）第34号,2018-03-12,
152,旅館・ホテル,ビジネスインノルテ,北海道札幌市中央区南１１条西１丁目１－３５,,011-511-1222,オーブ株式会社,代表取締役,岩寺晴夫,札保環許可（旅）第5号,1999-07-23,
153,旅館・ホテル,ホテル　リオ,北海道札幌市中央区南１１条西１丁目１番３５号,,011-511-3399,株式会社リオ,代表取締役,岩寺利夫,札保環許可（旅）第21号,2010-12-27,
154,旅館・ホテル,ホテルマイステイズ札幌中島公園別館,北海道札幌市中央区南１１条西１丁目１番地１９,,011-563-6700,株式会社マイステイズ・ホテル・マネジメント,代表取締役,麻野篤毅,札保環許可（旅）第23号,2017-01-20,
155,簡易宿所,Ｓａｐｐｏｒｏ Ｓｔａｙ Ｎａｋａｊｉｍａ ｐａｒｋ,北海道札幌市中央区南１１条西１丁目４－１,,,株式会社グランマニエコーポレーション,代表取締役,近藤恵美子,札保環許可（旅）第14号,2018-07-11,
156,簡易宿所,ゲストハウス樹舎（いつきや）,北海道札幌市中央区南１１条西９丁目１番１３号,,011-211-1724,伊藤秀樹,,,札保環許可（旅）第8号,2012-02-01,
157,旅館・ホテル,ホテル牧,北海道札幌市中央区南１３条西７丁目１－２０,,011-521-1930,稲田眞紀子,,,札保環許可（旅）第9号,2012-03-01,
158,簡易宿所,ＯＣＨＯ　Ｇｕｅｓｔｈｏｕｓｅ,北海道札幌市中央区南１３条西８丁目１番２号,,011-211-0338,伊藤路,,,札保環許可（旅）第5号,2016-05-20,
159,旅館・ホテル,ＷＡＴＥＲ　ＨＯＴＥＬ　Ｋ,北海道札幌市中央区南１４条西１丁目,,011-521-3331,株式会社リバース,代表取締役,田村正亀,札中保衛許可（旅）第8号,1984-10-20,
160,旅館・ホテル,ホテルマイステイズ札幌中島公園,北海道札幌市中央区南１４条西１丁目１番２０号,,011-531-0550,株式会社マイステイズ・ホテル・マネジメント,代表取締役,麻野篤毅,札保環許可（旅）第9号,2015-10-23,
161,旅館・ホテル,株式会社すみれホテル,北海道札幌市中央区北１条西２丁目,,011-261-5151,株式会社すみれホテル,代表取締役,舟橋五峰,札中保衛許可（旅）第2号,1994-04-14,
162,旅館・ホテル,ユニゾイン札幌,北海道札幌市中央区北１条西３丁目３番１０,,011-221-5281,ユニゾホテル株式会社,代表取締役,小崎哲資,札保環許可（旅）第12号,2015-12-18,
163,旅館・ホテル,ホテルＷＢＦ札幌大通,北海道札幌市中央区北１条西４丁目１－１,三甲大通公園ビル　４F,011-252-1252,ＷＢＦリゾート株式会社,代表取締役,近藤康生,札保環許可（旅）第3号,2011-05-20,
164,旅館・ホテル,札幌グランドホテル,北海道札幌市中央区北１条西４丁目２番地,,011-261-3311,株式会社グランビスタホテル＆リゾート,代表取締役,須田貞則,札保環許可（旅）第5号,2002-04-18,
165,旅館・ホテル,日本私立学校振興・共済事業団　北海道会館　札幌ガーデンパレス,北海道札幌市中央区北１条西６丁目,,011-261-5311,日本私立学校振興・共済事業団,理事長,清家篤,札中保衛許可（旅）第8号,1992-06-04,
166,旅館・ホテル,ロイトン札幌,北海道札幌市中央区北１条西１１丁目１番地,,011-271-2711,大和リゾート株式会社,代表取締役,柴山良成,札中保衛許可（旅）第11号,1992-07-04,
167,簡易宿所,札幌円山ゲストハウス　つむり庵,北海道札幌市中央区北１条西２２丁目１－１８,,011-699-5669,鈴木和司,,,札保環許可（旅）第14号,2010-12-09,
168,旅館・ホテル,北海道母子福祉センター,北海道札幌市中央区北１条東８丁目,,011-251-2016,社会福祉法人北海道母子寡婦福祉連合会,理事長,畑和子,札中保衛許可（旅）第6号,1997-01-10,
169,旅館・ホテル,ニューオータニイン札幌,北海道札幌市中央区北２条西１丁目,,011-222-1111,エイチアールティーニューオータニ株式会社,代表取締役,原田明久,札保環許可（旅）第8号,2001-06-08,
170,旅館・ホテル,ホテルモントレエーデルホフ札幌,北海道札幌市中央区北２条西１丁目１番地,,011-242-7111,ホテルモントレ株式会社,代表取締役,木下勝弘,札保環許可（旅）第13号,2000-11-30,
171,旅館・ホテル,アパホテルＴＫＰ札幌駅前,北海道札幌市中央区北２条西２丁目１９番地１,,011-252-3167,株式会社ティーケーピー,代表取締役,河野貴輝,札保環許可（旅）第3号,2014-08-01,
172,旅館・ホテル,クロスホテル札幌,北海道札幌市中央区北２条西２丁目２３番地,,011-272-0010,クロスホテルズ株式会社,代表取締役,似内隆晃,札保環許可（旅）第7号,2007-07-19,
173,旅館・ホテル,ネストホテル札幌駅前,北海道札幌市中央区北２条西２丁目９,,011-222-6611,ネストホテルジャパン株式会社,代表取締役,河内中,札保環許可（旅）第2号,2013-04-22,
174,旅館・ホテル,ホテル法華クラブ札幌店,北海道札幌市中央区北２条西３丁目,,011-221-2141,株式会社法華倶楽部,代表取締役,嶋田靖永,札中保衛許可（旅）第5号,1983-04-28,
175,旅館・ホテル,ホテル時計台,北海道札幌市中央区北２条西３丁目,,011-222-7211,エヌケープロジェクト株式会社,代表取締役,金南賢,札中保衛許可（旅）第3号,1985-03-01,
176,旅館・ホテル,北二条クラブ,北海道札幌市中央区北２条西２１丁目２の１番地,,011-643-1141,北電興業株式会社,代表取締役,恩村裕之,札中保衛許可（旅）第6号,1996-01-31,
177,旅館・ホテル,ホテルクラビーサッポロ,北海道札幌市中央区北２条東３丁目1番地１,,011-242-5082,サッポロ不動産開発株式会社,代表取締役,生駒俊行,札中保衛許可（旅）第19号,1993-03-25,
178,旅館・ホテル,ＪＲイン札幌駅南口,北海道札幌市中央区北３条西１丁目１０番,,011-231-8111,ＪＲ北海道ホテルズ株式会社,代表取締役,石見誠嗣,札保環許可（旅）第16号,2016-09-30,
179,旅館・ホテル,リッチモンドホテル札幌駅前,北海道札幌市中央区北３条西１丁目１－７,,011-218-8555,アールエヌティーホテルズ株式会社,代表取締役,福村正道,札保環許可（旅）第4号,2006-05-18,
180,旅館・ホテル,東横イン札幌駅南口,北海道札幌市中央区北３条西１丁目１番１６号,,011-222-1045,株式会社東横イン,代表執行役,黒田麻衣子,札保環許可（旅）第17号,2002-11-05,
181,旅館・ホテル,ＡＮＡクラウンプラザホテル札幌,北海道札幌市中央区北３条西１丁目２番地９,,011-221-4411,株式会社札幌ホテルマネジメント,代表取締役,佐藤亮祐,札保環許可（旅）第1号,2014-05-29,
182,旅館・ホテル,Ｒ＆Ｂホテル札幌北３西２,北海道札幌市中央区北３条西２丁目１－３０,アルトパーク３・２ ２階～１１階　,011-210-1515,ワシントンホテル株式会社,代表取締役,内田和男,札保環許可（旅）第8号,2002-04-22,
183,旅館・ホテル,ホテルパールシティ札幌,北海道札幌市中央区北３条西２丁目１番２６号,,011-222-0511,ホテルマネージメントインターナショナル株式会社,代表取締役,大垣敏和,札保環許可（旅）第12号,2007-10-15,
184,旅館・ホテル,中村屋旅館,北海道札幌市中央区北３条西７丁目,緑苑ビル,011-241-2111,株式会社中村屋旅館,代表取締役,八尾師友美,札中保衛許可（旅）第2170号,1973-05-31,
185,旅館・ホテル,ホテルさっぽろ弥生,北海道札幌市中央区北３条西１２丁目１番,,011-281-2511,北海道キヨスク株式会社,代表取締役,栗原進,札保環許可（旅）第8号,2003-11-13,
186,簡易宿所,Ｃｉｔｙ　Ｃａｂｉｎ　Ｎｉｋｏｈ　Ｒｅｆｒｅ,北海道札幌市中央区北４条西２丁目１番地２,,011-585-6625,株式会社ニコー,代表取締役,晴山徳貴,札保環許可（旅）第19号,2018-08-08,
187,旅館・ホテル,ホテルグレイスリー札幌,北海道札幌市中央区北４条西４丁目１番地,,011-251-3211,札幌ワシントンホテル株式会社,代表取締役,星野健一,札保環許可（旅）第7号,2006-08-11,
188,旅館・ホテル,ポールスター札幌,北海道札幌市中央区北４条西６丁目２番地,,011-241-9111,北海道市町村職員共済組合,理事長,上野正三,札中保衛許可（旅）第12号,1988-08-11,
189,旅館・ホテル,ホテルルートイン札幌北四条,北海道札幌市中央区北４条西１３丁目１－５３,,011-204-7122,ルートインジャパン株式会社,代表取締役,永山泰樹,札保環許可（旅）第6号,2003-08-04,
190,旅館・ホテル,ＨＯＴＥＬ　ＤＯＲＡＬ,北海道札幌市中央区北４条西１７丁目１９番地,,011-622-2211,株式会社ドラールコスモ,代表取締役,布施光章,札中保衛許可（旅）第4号,1994-05-26,
191,旅館・ホテル,ホテルモントレ札幌,北海道札幌市中央区北４条東１丁目３番地,,011-232-7111,ホテルモントレ株式会社,代表取締役,木下勝弘,札保環許可（旅）第5号,2004-04-19,
192,旅館・ホテル,ＧＬＯＷＬ－Ｎ４Ｅ２Ⅱ,北海道札幌市中央区北４条東２丁目１－２,,03-6457-9436,株式会社ＧＬＯＷＬ,代表取締役,堀麻美,札保環許可（旅）第3号,2018-04-17,
193,旅館・ホテル,ＧＬＯＷＬ－Ｎ４Ｅ２Ⅰ,北海道札幌市中央区北４条東２丁目８－７,,03-6457-9436,株式会社ＧＬＯＷＬ,代表取締役,堀麻美,札保環許可（旅）第12号,2018-06-29,
194,旅館・ホテル,ＪＲタワーホテル日航札幌,北海道札幌市中央区北５条西２丁目５番地,,011-218-6670,ＪＲ北海道ホテルズ株式会社,代表取締役,石見誠嗣,札保環許可（旅）第3号,2003-05-16,
195,旅館・ホテル,センチュリーロイヤルホテル,北海道札幌市中央区北５条西５丁目,,011-221-2121,札幌国際観光株式会社,代表取締役,桶川昌幸,札中保衛許可（旅）第2161号,1973-05-09,
196,旅館・ホテル,ＪＲイン札幌,北海道札幌市中央区北５条西６丁目１,,011-233-3008,ＪＲ北海道ホテルズ株式会社,代表取締役,石見誠嗣,札保環許可（旅）第8号,2013-09-27,
197,旅館・ホテル,三井ガーデンホテル札幌,北海道札幌市中央区北５条西６丁目１８－３,,011-280-1131,株式会社三井不動産ホテルマネジメント,代表取締役,足立充,札保環許可（旅）第3号,2010-05-28,
198,旅館・ホテル,株式会社京王プラザホテル札幌,北海道札幌市中央区北５条西７丁目,,011-271-0111,株式会社京王プラザホテル札幌,代表取締役,池田純久,札中保衛許可（旅）第3号,1982-03-04,
199,簡易宿所,Ｌｕｘｅ　Ｉｎｎ　Ｍａｒｕｙａｍａ,北海道札幌市中央区北５条西２４丁目２番１２号,,,株式会社リロケーションサービス,代表取締役,高橋孝嘉,札保環許可（旅）第10号,2018-06-25,
200,簡易宿所,北翠寮,北海道札幌市中央区北７条西１２丁目１１,,011-231-3990,古屋博子,,,札保環許可（旅）第22号,1998-02-19,
201,旅館・ホテル,ブルーホテル　オクタ,北海道札幌市中央区北１５条西１９丁目１－１９,,011-738-2466,株式会社オクタ,代表取締役,木元浩喜,札保環許可（旅）第17号,2010-12-22,
202,旅館・ホテル,ホテルＥＬＬＡＧＯ,北海道札幌市北区東茨戸２条１丁目７－２５,,011-771-1471,株式会社雄紀産業,代表取締役,土本さやか,札北保衛許可（旅）第398号,1971-09-30,
203,旅館・ホテル,シャトレーゼガトーキングダムサッポロ,北海道札幌市北区東茨戸１３２番地,,011-773-2211,株式会社札幌シャトレーゼ,代表取締役,水澤義治,札保環許可（旅）第10号,2002-07-11,
204,旅館・ホテル,ホテル水色の詩,北海道札幌市北区屯田３条２丁目２番８号,,011-771-2536,株式会社コア・ビーエム,代表取締役,福田義知,札北保衛許可（旅）第2057号,1970-12-28,
205,旅館・ホテル,東横イン札幌駅北口,北海道札幌市北区北６条西１丁目４－３,,011-728-1045,株式会社東横イン,代表執行役,黒田麻衣子,札保環許可（旅）第1号,2003-04-07,
206,旅館・ホテル,ホテルＷＢＦ札幌ノースゲート,北海道札幌市北区北６条西４丁目２－６,,011-757-2001,ＷＢＦリゾート株式会社,代表取締役,近藤康生,札保環許可（旅）第10号,2012-03-21,
207,旅館・ホテル,ホテル京阪　札幌,北海道札幌市北区北６条西６丁目１-９,,011-758-0321,株式会社ホテル京阪,代表取締役,工藤俊也,札保環許可（旅）第6号,2009-05-29,
208,簡易宿所,北海道青年会館札幌ハウスセミナーセンター,北海道札幌市北区北６条西６丁目３－１,,011-726-4235,一般財団法人北海道青年会館,代表理事,西村昭教,札北保衛許可（旅）第2067号,1974-07-10,
209,旅館・ホテル,札幌クレセントホテル,北海道札幌市北区北６条西７丁目５－７,,011-747-8839,株式会社湯の川プリンスホテル,代表取締役,河内孝夫,札北保衛許可（旅）第7号,1992-12-16,
210,旅館・ホテル,ＨＯＴＥＬ　ＬｉＶＥＭＡＸ　札幌駅前,北海道札幌市北区北６条西７丁目５－７,,011-747-2010,株式会社リブ・マックス,代表取締役,有山憲,札保環許可（旅）第5号,2015-08-20,
211,簡易宿所,Ｔｅｎ　ｔｏ　Ｔｅｎ　ＳＡＰＰＯＲＯ　ＳＴＡＴＩＯＮ,北海道札幌市北区北６条西８丁目３－４,,011-214-1164,株式会社ＦＵＬＬＣＯＭＭＩＳＳＩＯＮ,代表取締役,山崎明信,札保環許可（旅）第10号,2017-06-14,
212,旅館・ホテル,ホテルサンルート札幌,北海道札幌市北区北７条西１丁目１番地22,ホテルサンルート札幌（丸増ビル）,011-737-8111,株式会社ポロス,代表取締役,才式祐久,札保環許可（旅）第18号,2004-03-12,
213,旅館・ホテル,ホテル　ルートイン札幌駅前北口,北海道札幌市北区北７条西４丁目２－２,,011-727-2111,ルートインジャパン株式会社,代表取締役,永山泰樹,札保環許可（旅）第1号,2008-06-09,
214,旅館・ホテル,北海道クリスチャンセンター,北海道札幌市北区北７条西６丁目,,011-736-3388,日本基督教団芦別教会,代表役員,日向恭司,札保環許可（旅）第11号,2010-11-29,
215,簡易宿所,ｗａｇａｙａｄｏ　晴　－ＨａＬｅ－,北海道札幌市北区北７条西８丁目３番１２号,,011-299-6257,株式会社ＦＵＬＬＣＯＭＭＩＳＳＩＯＮ,代表取締役,山崎明信,札保環許可（旅）第14号,2016-01-07,
216,旅館・ホテル,ホテルマイステイズ札幌駅北口,北海道札幌市北区北８条西４丁目１５,,011-729-4055,株式会社マイステイズ・ホテル・マネジメント,代表取締役,麻野篤毅,札保環許可（旅）第17号,2016-10-06,
217,旅館・ホテル,東横イン札幌北大前,北海道札幌市北区北８条西４丁目２２－７,,011-717-1045,株式会社東横イン,代表執行役,黒田麻衣子,札北保衛許可（旅）第3号,1996-11-28,
218,旅館・ホテル,ホテルマイステイズ札幌アスペン,北海道札幌市北区北８条西４丁目５番地,,011-700-2111,札幌アスペンホテル株式会社,代表取締役,滝澤和政,札保環許可（旅）第6号,1999-07-23,
219,旅館・ホテル,アパホテル＜ＴＫＰ札幌駅北口＞ＥＸＣＥＬＬＥＮＴ,北海道札幌市北区北１０条西３丁目７番地,,011-756-7733,株式会社ティーケーピー,代表取締役,河野貴輝,札保環許可（旅）第11号,2016-07-29,
220,旅館・ホテル,ビジネス イン ノルテ Ⅱ,北海道札幌市北区北１０条西４丁目１番２２,,011-707-0066,オーブ株式会社,代表取締役,岩寺晴夫,札保環許可（旅）第2号,2000-04-28,
221,旅館・ホテル,札幌クラークホテル,北海道札幌市北区北１３条西４丁目,,011-716-7772,株式会社ホライズン,代表取締役,長崎弘晃,札保環許可（旅）第10号,2007-09-05,
222,旅館・ホテル,札幌クラークホテル,北海道札幌市北区北１３条西４丁目１－１５,,011-716-7772,札幌クラークホテル株式会社,代表取締役,相馬輝昭,札保環許可（旅）第18号,2017-08-18,
223,旅館・ホテル,ホテル　サッポロメッツ,北海道札幌市北区北１７条西５丁目２－５０,,011-726-5511,有限会社美栄社,代表取締役,若林亜希,札保環許可（旅）第10号,2000-10-20,
224,簡易宿所,ＵＮＴＡＰＰＥＤ　ＨＯＳＴＥＬ　ＡＮＮＥＸ,北海道札幌市北区北１８条西４丁目１－７,,011-788-4579,神輝哉,,,札保環許可（旅）第19号,2016-10-26,
225,簡易宿所,ＵＮＴＡＰＰＥＤ　ＨＯＳＴＥＬ,北海道札幌市北区北１８条西４丁目１－８,,011-788-4579,神輝哉,,,札保環許可（旅）第9号,2014-12-12,
226,旅館・ホテル,北海道第一ホテルサッポロ,北海道札幌市北区北２３条西４丁目19-314,,011-726-3232,株式会社マルカサポート・ツー,代表取締役,金井小百合,札保環許可（旅）第7号,2005-08-08,
227,簡易宿所,ホッカイドウ・サン・ゲストハウス,北海道札幌市北区北２３条西６丁目２－２１,,011-788-5099,合同会社リベルタージ,代表社員,海野絵理,札保環許可（旅）第15号,2016-09-29,
228,旅館・ホテル,ホテルヴィーナス,北海道札幌市北区北２４条西４丁目３番２０号,,011-747-7116,株式会社プラグレス,代表取締役,南秀晴,札北保衛許可（旅）第3号,1984-09-10,
229,旅館・ホテル,ホテル目黒エンペラー,北海道札幌市北区北２４条西４丁目４－６,,011-746-0501,濱谷政治,,,札北保衛許可（旅）第3号,1980-11-15,
230,旅館・ホテル,札幌サンプラザ,北海道札幌市北区北２４条西５丁目１,,011-717-2711,一般財団法人札幌勤労者職業福祉センター,理事長,町田隆敏,札北保衛許可（旅）第1号,1986-08-25,
231,旅館・ホテル,ホテルフィオナ,北海道札幌市北区北３７条西８丁目２番６号,,011-756-5603,山タ武田商事株式会社,代表取締役,田中裕二,札北保衛許可（旅）第2号,1980-06-06,
232,旅館・ホテル,ホテルロイヤル朋,北海道札幌市北区北４０条西５丁目５－１５,,011-717-0050,若松興産有限会社,代表取締役,追越悟,札北保衛許可（旅）第2号,1981-11-06,
233,下宿,トゥレプの杜,北海道札幌市東区中沼５条１丁目１番２５号,,,一般社団法人ピリカの丘,代表理事,高橋陽子,札保環許可（旅）第24号,2017-01-25,
234,旅館・ホテル,ホテル　水色の詩,北海道札幌市東区東苗穂５条２丁目６番３７号,,011-783-6288,有限会社水組,代表取締役,堀尾博美,札保環許可（旅）第7号,2001-06-06,
235,旅館・ホテル,芙蓉館,北海道札幌市東区北７条東３丁目２８番地,,011-711-8762,有限会社芙蓉館,代表取締役,阿部典昭,札保環許可（旅）第17号,2002-03-12,
236,下宿,アルファケア北８条東／アルファマンスリー北８条東,北海道札幌市東区北８条東１２丁目１－５,,011-752-6240,アルファコミュニティ株式会社,代表取締役,川村裕二,札保環許可（旅）第20号,2017-09-06,
237,簡易宿所,Ｐｉｒｋａ　Ｓａｐｐｏｒｏ,北海道札幌市東区北１４条東１２丁目１番３０号,,011-723-7810,伴朋之,,,札保環許可（旅）第35号,2018-03-22,
238,旅館・ホテル,アーバンホテルマルコー,北海道札幌市東区北１７条東１丁目３番７号,,011-704-7111,有限会社丸幸ホテル,代表取締役,熱田直樹,札東保衛許可（旅）第1号,1991-05-24,
239,旅館・ホテル,丸幸旅館,北海道札幌市東区北１７条東１丁目４番３号,,011-721-4786,熱田桂子,,,札東保衛許可（旅）第1号,1990-04-03,
240,旅館・ホテル,ホテル ピジョン ド ラ・メール,北海道札幌市東区北３３条東１７丁目,,011-780-8811,有限会社北野商事,代表取締役,田中裕二,札東保衛許可（旅）第1号,1983-03-17,
241,旅館・ホテル,ホテルユキタ,北海道札幌市東区北３６条東１５丁目３－１５,,011-751-3500,株式会社ユキタ,代表取締役,鈴木隆也,札東保衛許可（旅）第3号,1993-11-19,
242,旅館・ホテル,ホテル朋,北海道札幌市東区北３９条東１６丁目,,011-783-5148,若松興産有限会社,代表取締役,追越悟,札東保衛第3124号,1979-12-12,
243,旅館・ホテル,ドミトリー南郷,北海道札幌市白石区栄通１７丁目５番２５号,,011-855-7333_,株式会社南郷,代表取締役,竹内信也,札保環許可（旅）第7号,2014-10-23,
244,旅館・ホテル,ＨＯＴＥＬ　ＰＯＴＭＵＭ,北海道札幌市白石区菊水１条１丁目３－１７,,011-826-4500,株式会社藤井ビル,代表取締役,藤井將博,札保環許可（旅）第8号,2017-05-31,
245,簡易宿所,ビーチ＆フィールド　イン,北海道札幌市白石区菊水７条２丁目６番地,,011-376-1288,一般財団法人ビーチ＆フィールド保護協会,理事長,濱野安宏,札保環許可（旅）第16号,2018-07-18,
246,旅館・ホテル,ホテル　アセントイン札幌,北海道札幌市白石区東札幌３条２丁目１－３,,011-820-2800,泰和石油株式会社,代表取締役,田井中,札保環許可（旅）第2号,2003-04-30,
247,簡易宿所,イノーズ プレイス,北海道札幌市白石区東札幌３条４丁目６－５,,011-832-1828,猪俣栄治,,,札保環許可（旅）第13号,2001-11-30,
248,旅館・ホテル,ホテル縁,北海道札幌市白石区平和通１２丁目北６－２０,,011-862-2016,株式会社丸信企画,代表取締役,前田英則,札白保衛許可（旅）第3号,1979-12-05,
249,旅館・ホテル,ホテルシエロ,北海道札幌市白石区平和通１２丁目北６－５０,,011-863-1001,有限会社北雄,取締役,前田英則,札保環許可（旅）第19号,2001-03-05,
250,旅館・ホテル,ホテル　アーデン,北海道札幌市白石区平和通１４丁目北２－４５,,011-861-3937,株式会社東日商事,代表取締役,竹生功,札白保衛許可（旅）第1号,1985-02-09,
251,旅館・ホテル,ホテルクレア,北海道札幌市白石区平和通１４丁目北３番２８号,,011-862-5616,山タ武田商事株式会社,代表取締役,田中裕二,札白保衛許可（旅）第2号,1981-11-18,
252,旅館・ホテル,ホテル　ワイズ,北海道札幌市白石区米里１条２丁目２－３,,011-879-3311,株式会社ワイズ,代表取締役,岩寺利夫,札保環許可（旅）第19号,1997-12-09,
253,旅館・ホテル,ホテルルートイン札幌白石,北海道札幌市白石区北郷４条２丁目１－５,,011-873-2727,ルートインジャパン株式会社,代表取締役,永山泰樹,札保環許可（旅）第9号,2001-07-02,
254,旅館・ホテル,ホテルエミシア札幌,北海道札幌市厚別区厚別中央２条５丁目５番２５号,,011-895-8811,株式会社ホスピタリティオペレーションズ,代表取締役,田中章生,札保環許可（旅）第7号,2013-08-28,
255,旅館・ホテル,アークシティホテル,北海道札幌市厚別区厚別中央２条５丁目６－２,,011-890-2525,株式会社アークホテルシステム,代表取締役,井澤睦雄,札厚保衛許可（旅）第1号,1990-05-29,
256,旅館・ホテル,ホテル　アクアムーン,北海道札幌市厚別区厚別東４条２丁目４番２７号,,011-898-2535,有限会社富士興産,取締役,塩見昌宏,札保環許可（旅）第11号,2002-07-16,
257,旅館・ホテル,レジャーホテル・ボルボ,北海道札幌市厚別区厚別東５条１丁目２,,011-897-1171,株式会社公商事,代表取締役,佐藤公夫,札厚保衛許可（旅）第1号,1984-06-06,
258,旅館・ホテル,プチ・ラメールⅡ,北海道札幌市厚別区大谷地西６丁目５番１５,,011-892-8415,サッポロホールディング有限会社,代表取締役,田中裕二,札厚保衛許可（旅）第3号,1980-09-19,
259,旅館・ホテル,プチ・ラメール,北海道札幌市厚別区大谷地西６丁目５番１５号,,011-892-8415,サッポロホールディング有限会社,代表取締役,田中裕二,札厚保衛許可（旅）第1号,1979-09-03,
260,旅館・ホテル,オーベルジュ・ラ・グラース,北海道札幌市厚別区大谷地東７丁目５番１号,,011-893-5656,株式会社ラ・グラース,代表取締役,岩寺利夫,札厚保衛許可（旅）第1号,1995-02-21,
261,簡易宿所,ＡＫＫＯ’ｓ　Ｇｕｅｓｔ　Ｈｏｕｓｅ,北海道札幌市豊平区月寒西１条６丁目２番１号,,011-858-0155,合同会社アキエステート,代表社員,高田昭子,札保環許可（旅）第28号,2018-01-17,
262,簡易宿所,ＳＡＫＵＲＡ ＨＯＵＳＥ,北海道札幌市豊平区月寒西３条１０丁目２－４８,,,藤野雄,,,札保環許可（旅）第17号,2018-07-19,
