許可番号,営業の種類,営業者氏名,営業所所在地,営業所方書,営業所電話番号,営業所名称_カナ,営業所名称_1,営業所名称_2,許可年月日,許可満了日
第032-000187号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,R・S・Bロータス株式会社,奄美市名瀬入舟町14−15,,,ドゥルガダイニングナンハウス,ドゥルガダイニング　ナンハウス,,令和2年9月18日,令和8年10月31日
第032-000188号,飲食店営業（その他）,合同会社　味の郷かさり,奄美市笠利町節田1717−1,奄美市ひと・もの交流プラザ,0997-63-0771  ,アジノサトカサリ,合同会社　味の郷かさり,,令和2年9月25日,令和8年10月31日
第032-000190号,飲食店営業（その他）,福元　弘晃,奄美市名瀬金久町4−1アーバンボックスビル103,,0997-54-4329  ,イナイナイバー,１９９BAR,,令和2年9月25日,令和8年10月31日
第032-000191号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,萩原　幸代,奄美市名瀬仲勝町7−16,,53-6783       ,トゴラ,ｔｏｇｏｒａ,,令和2年9月25日,令和8年10月31日
第032-000192号,飲食店営業（旅館）,株式会社　福栄商事,大島郡喜界町湾550−7,,0997-65-1126  ,ホンカンギナマソウ,本館ぎなま荘,,令和2年9月25日,令和8年10月31日
第032-000193号,飲食店営業（その他）,藏　阿沙美,奄美市名瀬金久町7−20エクセルビル302,,0997-52-8595  ,ブルーム,ラウンジ　Bloom,,令和2年9月25日,令和8年10月31日
第032-000194号,缶詰又は瓶詰食品製造業,尾_　佳代子,大島郡瀬戸内町俵10,,,カケロマトロピカル,カケロマ　トロピカル,,令和2年9月30日,令和8年10月31日
第032-000195号,食肉販売業,ニューヨーク・エボリューション株式会社,大島郡瀬戸内町古仁屋大湊12−4,,0997-72-3966  ,ニューヨークエボリューションアマミセトウチテン,ニューヨーク・エボリューション株式会社　奄美瀬戸内店,,令和2年9月30日,令和8年10月31日
第032-000173号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,KAMMURA JUVY GAMBA,大島郡和泊町和泊１１０−１,,,シャレード,シャレード,,令和2年9月8日,令和8年10月31日
第032-000174号,飲食店営業（一般食堂・ﾚｽﾄﾗﾝ等）,長野　ムツ子,大島郡和泊町和泊５２,,92-3085       ,ナゴミ,居酒屋　和（なごみ）,,令和2年9月8日,令和8年10月31日
第032-000175号,飲食店営業（その他）,迫田　とみ子,大島郡徳之島町亀津7494-2,,,ラビアン,La  Vie  en,,令和2年9月15日,令和7年10月31日
第032-000176号,食肉販売業,上岡　将,大島郡天城町浅間８２８−１０,,0997-85-5688  ,ニクイチ,肉壱,,令和2年9月28日,令和8年10月31日
第032-000196号,喫茶店営業,株式会社アペックス西日本,日置市伊集院町妙円寺１丁目１番地６,,099-273-3939  ,マエハラソウゴウイリョウビョウイン,前原総合医療病院,,令和2年9月1日,令和8年10月31日
第032-000295号,喫茶店営業,株式会社ゼコー,薩摩川内市中郷１−１９−２,,0996-20-5336  ,コープカゴシマセンダイテン,コープかごしま川内店,,令和2年9月16日,令和8年10月31日
第032-000255号,喫茶店営業,株式会社ゼコー,出水市上知識町８６８,,0996-63-7878  ,コープカゴシマイズミ,コープかごしま出水店,,令和2年9月30日,令和8年10月31日
第032-000483号,喫茶店営業,株式会社アペックス西日本,霧島市国分山下町１−１,,0995-46-1100  ,キョウセラカゴシマコクブコウジョウ,京セラ株式会社　鹿児島国分工場　第４−１工場２Ｆ,,令和2年9月2日,令和8年10月31日
第032-000500号,喫茶店営業,株式会社アペックス西日本,霧島市国分山下町１−１,,0995-46-1100  ,キョウセラカゴシマコクブコウジョウ,京セラ株式会社　鹿児島国分工場　第４−１工場５Ｆ,,令和2年9月25日,令和8年10月31日
